exp,samples,mix,day,strain,s9,dose,dose_value,n,mean_rev,sd_rev,se_rev
8,biotic,1,14,TA100,no,d,5,2,61.5,4.949747468305833,3.4999999999999996
8,biotic,2,3,TA100,no,a,50,2,60,12.727922061357855,9
8,biotic,2,3,TA100,no,b,25,2,60,1.4142135623730951,1
8,biotic,2,3,TA100,no,c,13,2,54.5,2.1213203435596424,1.4999999999999998
8,biotic,2,3,TA100,no,d,5,2,69,2.8284271247461903,2
8,biotic,2,14,TA100,no,a,50,2,56.5,7.7781745930520225,5.499999999999999
8,biotic,2,14,TA100,no,b,25,2,54,8.48528137423857,5.999999999999999
8,biotic,2,14,TA100,no,c,13,2,53.5,0.7071067811865476,0.5
8,biotic,2,14,TA100,no,d,5,2,57,11.313708498984761,8
10,abiotic,1,0,TA100,yes,a,50,2,38.5,3.5355339059327378,2.5
10,abiotic,1,0,TA100,yes,b,25,2,31,1.4142135623730951,1
10,abiotic,1,0,TA100,yes,c,13,2,24.5,3.5355339059327378,2.5
10,abiotic,1,0,TA100,yes,d,5,2,29,5.656854249492381,4
10,abiotic,1,7,TA100,yes,a,50,2,34,1.4142135623730951,1
10,abiotic,1,7,TA100,yes,b,25,2,0,0,0
10,abiotic,1,7,TA100,yes,c,13,2,37.5,6.363961030678928,4.5
10,abiotic,1,7,TA100,yes,d,5,2,28,11.313708498984761,8
10,abiotic,2,0,TA100,yes,a,50,2,40,8.48528137423857,5.999999999999999
10,abiotic,2,0,TA100,yes,b,25,2,47,19.79898987322333,13.999999999999998
10,abiotic,2,0,TA100,yes,c,13,2,57.5,2.1213203435596424,1.4999999999999998
10,abiotic,2,0,TA100,yes,d,5,2,60,5.656854249492381,4
10,abiotic,2,7,TA100,yes,a,50,2,53.5,4.949747468305833,3.4999999999999996
10,abiotic,2,7,TA100,yes,b,25,2,49.5,6.363961030678928,4.5
10,abiotic,2,7,TA100,yes,c,13,2,61,9.899494936611665,6.999999999999999
10,abiotic,2,7,TA100,yes,d,5,2,57.5,2.1213203435596424,1.4999999999999998
10,biotic,1,7,TA100,yes,a,50,2,46.5,4.949747468305833,3.4999999999999996
10,biotic,1,7,TA100,yes,b,25,2,36,1.4142135623730951,1
10,biotic,1,7,TA100,yes,c,13,2,35,1.4142135623730951,1
10,biotic,1,7,TA100,yes,d,5,2,42.5,2.1213203435596424,1.4999999999999998
10,biotic,2,7,TA100,yes,a,50,2,70.5,2.1213203435596424,1.4999999999999998
10,biotic,2,7,TA100,yes,b,25,2,59.5,2.1213203435596424,1.4999999999999998
10,biotic,2,7,TA100,yes,c,13,2,66,2.8284271247461903,2
10,biotic,2,7,TA100,yes,d,5,2,56,1.4142135623730951,1
11,abiotic,1,14,TA100,yes,a,50,2,36.5,3.5355339059327378,2.5
11,abiotic,1,14,TA100,yes,b,25,2,41.5,28.991378028648448,20.5
11,abiotic,1,14,TA100,yes,c,13,2,44.5,0.7071067811865476,0.5
11,abiotic,1,14,TA100,yes,d,5,2,40,8.48528137423857,5.999999999999999
11,abiotic,2,14,TA100,yes,a,50,2,44,4.242640687119285,2.9999999999999996
11,abiotic,2,14,TA100,yes,b,25,2,30,1.4142135623730951,1
11,abiotic,2,14,TA100,yes,c,13,2,40.5,2.1213203435596424,1.4999999999999998
11,abiotic,2,14,TA100,yes,d,5,2,39.5,6.363961030678928,4.5
11,biotic,1,3,TA100,yes,a,50,2,28,0,0
11,biotic,1,3,TA100,yes,b,25,2,26,2.8284271247461903,2
11,biotic,1,3,TA100,yes,c,13,2,36,9.899494936611665,6.999999999999999
11,biotic,1,3,TA100,yes,d,5,2,30.5,2.1213203435596424,1.4999999999999998
11,biotic,1,14,TA100,yes,a,50,2,27.5,0.7071067811865476,0.5
11,biotic,1,14,TA100,yes,b,25,2,46.5,2.1213203435596424,1.4999999999999998
11,biotic,1,14,TA100,yes,c,13,2,39.5,7.7781745930520225,5.499999999999999
11,biotic,1,14,TA100,yes,d,5,2,32.5,3.5355339059327378,2.5
11,biotic,2,3,TA100,yes,a,50,2,35.5,4.949747468305833,3.4999999999999996
11,biotic,2,3,TA100,yes,b,25,2,49,11.313708498984761,8
11,biotic,2,3,TA100,yes,c,13,2,36.5,4.949747468305833,3.4999999999999996
11,biotic,2,3,TA100,yes,d,5,2,27,7.0710678118654755,5
11,biotic,2,14,TA100,yes,a,50,2,34,1.4142135623730951,1
11,biotic,2,14,TA100,yes,b,25,2,25.5,0.7071067811865476,0.5
11,biotic,2,14,TA100,yes,c,13,2,31,12.727922061357855,9
