samples,mix,day,strain,s9,endpoint,dose,dose_value,n,mean_rev,sd_rev,se_rev
biotic,1,7,TA98,yes,72 hr total,d,5,2,42.5,6.363961030678928,4.5
biotic,2,7,TA100,no,48 hr,a,50,2,16,1.4142135623730951,1
biotic,2,7,TA100,no,48 hr,b,25,2,11.5,3.5355339059327378,2.5
biotic,2,7,TA100,no,48 hr,c,13,2,20.5,0.7071067811865476,0.5
biotic,2,7,TA100,no,48 hr,d,5,2,27.5,6.363961030678928,4.5
biotic,2,7,TA100,no,72 hr total,a,50,2,64.5,10.606601717798213,7.5
biotic,2,7,TA100,no,72 hr total,b,25,2,56,7.0710678118654755,5
biotic,2,7,TA100,no,72 hr total,c,13,2,61.5,7.7781745930520225,5.499999999999999
biotic,2,7,TA100,no,72 hr total,d,5,2,53,11.313708498984761,8
biotic,2,7,TA98,no,48 hr,a,50,2,15,4.242640687119285,2.9999999999999996
biotic,2,7,TA98,no,48 hr,b,25,2,13,1.4142135623730951,1
biotic,2,7,TA98,no,48 hr,c,13,2,12,2.8284271247461903,2
biotic,2,7,TA98,no,48 hr,d,5,2,21,0,0
biotic,2,7,TA98,no,72 hr total,a,50,2,31,5.656854249492381,4
biotic,2,7,TA98,no,72 hr total,b,25,2,26,2.8284271247461903,2
biotic,2,7,TA98,no,72 hr total,c,13,2,26.5,7.7781745930520225,5.499999999999999
biotic,2,7,TA98,no,72 hr total,d,5,2,34.5,0.7071067811865476,0.5
biotic,2,7,TA98,yes,48 hr,a,50,2,28.5,3.5355339059327378,2.5
biotic,2,7,TA98,yes,48 hr,b,25,2,29,2.8284271247461903,2
biotic,2,7,TA98,yes,48 hr,c,13,2,26,5.656854249492381,4
biotic,2,7,TA98,yes,48 hr,d,5,2,28.5,7.7781745930520225,5.499999999999999
biotic,2,7,TA98,yes,72 hr total,a,50,2,45.5,6.363961030678928,4.5
biotic,2,7,TA98,yes,72 hr total,b,25,2,45,8.48528137423857,5.999999999999999
biotic,2,7,TA98,yes,72 hr total,c,13,2,40.5,0.7071067811865476,0.5
biotic,2,7,TA98,yes,72 hr total,d,5,2,43,7.0710678118654755,5
