samples,mix,day,strain,s9,dose,dose_value,n,mean_rev,sd_rev,se_rev
biotic,2,3,TA100,yes,b,25,2,31.5,4.949747468305833,3.4999999999999996
biotic,2,3,TA100,yes,c,13,2,30.5,7.7781745930520225,5.499999999999999
biotic,2,3,TA100,yes,d,5,2,32,8.48528137423857,5.999999999999999
biotic,2,3,TA98,no,a,50,2,23.5,6.363961030678928,4.5
biotic,2,3,TA98,no,b,25,2,21.5,9.192388155425117,6.499999999999999
biotic,2,3,TA98,no,c,13,2,25.5,0.7071067811865476,0.5
biotic,2,3,TA98,no,d,5,2,19.5,0.7071067811865476,0.5
biotic,2,3,TA98,yes,a,50,2,33,1.4142135623730951,1
biotic,2,3,TA98,yes,b,25,2,26,7.0710678118654755,5
biotic,2,3,TA98,yes,c,13,2,33,1.4142135623730951,1
biotic,2,3,TA98,yes,d,5,2,29,1.4142135623730951,1
biotic,2,7,TA100,no,a,50,2,64.5,10.606601717798213,7.5
biotic,2,7,TA100,no,b,25,2,56,7.0710678118654755,5
biotic,2,7,TA100,no,c,13,2,61.5,7.7781745930520225,5.499999999999999
biotic,2,7,TA100,no,d,5,2,53,11.313708498984761,8
biotic,2,7,TA100,yes,a,50,2,121,140.0071426749364,98.99999999999999
biotic,2,7,TA100,yes,b,25,2,211.5,115.25840533340725,81.5
biotic,2,7,TA100,yes,c,13,2,176,73.53910524340094,51.99999999999999
biotic,2,7,TA100,yes,d,5,2,172.5,47.37615433949868,33.5
biotic,2,7,TA98,no,a,50,2,31,5.656854249492381,4
biotic,2,7,TA98,no,b,25,2,26,2.8284271247461903,2
biotic,2,7,TA98,no,c,13,2,26.5,7.7781745930520225,5.499999999999999
biotic,2,7,TA98,no,d,5,2,34.5,0.7071067811865476,0.5
biotic,2,7,TA98,yes,a,50,2,45.5,6.363961030678928,4.5
biotic,2,7,TA98,yes,b,25,2,45,8.48528137423857,5.999999999999999
biotic,2,7,TA98,yes,c,13,2,40.5,0.7071067811865476,0.5
biotic,2,7,TA98,yes,d,5,2,43,7.0710678118654755,5
biotic,2,14,TA100,no,a,50,2,56.5,7.7781745930520225,5.499999999999999
biotic,2,14,TA100,no,b,25,2,54,8.48528137423857,5.999999999999999
biotic,2,14,TA100,no,c,13,2,53.5,0.7071067811865476,0.5
biotic,2,14,TA100,no,d,5,2,57,11.313708498984761,8
biotic,2,14,TA100,yes,a,50,2,39.5,13.435028842544403,9.5
biotic,2,14,TA100,yes,b,25,2,33.5,2.1213203435596424,1.4999999999999998
biotic,2,14,TA100,yes,c,13,2,35.5,0.7071067811865476,0.5
biotic,2,14,TA100,yes,d,5,2,32.5,0.7071067811865476,0.5
biotic,2,14,TA98,no,a,50,2,14.5,4.949747468305833,3.4999999999999996
biotic,2,14,TA98,no,b,25,2,22,4.242640687119285,2.9999999999999996
biotic,2,14,TA98,no,c,13,2,14,2.8284271247461903,2
biotic,2,14,TA98,no,d,5,2,17,2.8284271247461903,2
biotic,2,14,TA98,yes,a,50,2,36.5,6.363961030678928,4.5
biotic,2,14,TA98,yes,b,25,2,34.5,0.7071067811865476,0.5
biotic,2,14,TA98,yes,c,13,2,31,5.656854249492381,4
biotic,2,14,TA98,yes,d,5,2,34.5,2.1213203435596424,1.4999999999999998
