samples,mix,day,strain,s9,intercept,slope,slope_se,p_value,r_squared,n,max_fold_dmso,positive
biotic,2,3,TA98,yes,29.028960449535333,0.052517830127512384,0.09263610680868566,0.5913258346332018,0.0508439550636873,8,0.9315068493150684,FALSE
biotic,2,14,TA98,yes,32.32861465312297,0.07726388588718362,0.08275568704781289,0.38652206512689335,0.1268511559341825,8,1.1232876712328768,FALSE
abiotic,2,14,TA98,yes,26.239896261076293,-0.042576183272098826,0.3541825837617286,0.9082413232460653,0.0024026090245211824,8,1.0136986301369864,FALSE
biotic,1,3,TA100,no,69.24130105900151,-0.4243570347957647,0.13875818828668274,0.022274966216331033,0.6091939592918896,8,1.4680851063829787,FALSE
biotic,1,14,TA100,no,70.15733736762482,-0.2594553706505301,0.20671267136829272,0.2560954590583896,0.20796272573257288,8,1.6595744680851063,FALSE
abiotic,1,14,TA100,no,67.19267343851308,-0.13194294359196068,0.13649080437111105,0.37103632362398553,0.13475728492328232,8,1.5319148936170213,FALSE
biotic,2,3,TA100,no,63.04322455154527,-0.09325696995893697,0.16387067789245063,0.589947660036872,0.05121270446997297,8,1.5106382978723405,FALSE
biotic,2,14,TA100,no,54.90328506591744,0.014912470283120748,0.14176873174240873,0.9196544672985476,0.001840716367683965,8,1.3829787234042554,FALSE
abiotic,2,14,TA100,no,64.02625891506375,-0.09790360925005466,0.16355605238290682,0.5713346050207924,0.056353665807210095,8,1.5319148936170213,FALSE
biotic,1,3,TA100,yes,34.56364815215042,0.16392911173546573,0.10103736997480699,0.15583137396566543,0.30494232066548327,8,0.4109697933227346,FALSE
biotic,1,14,TA100,yes,43.29814134428355,-0.17948995029176634,0.1164831158143446,0.17427177869162133,0.2835309628479537,8,0.4109697933227346,FALSE
abiotic,1,14,TA100,yes,33.34158201858656,-0.10071320510049711,0.11213196271806651,0.4036968473041797,0.11851604438593832,8,0.32352941176470595,FALSE
biotic,2,3,TA100,yes,30.05792089907067,0.10503566025502468,0.10951305024343311,0.3745381681576128,0.13293575751026585,8,0.3322734499205088,FALSE
biotic,2,14,TA100,yes,32.06926734385131,0.13680570564080397,0.12009439476017261,0.2980680739359906,0.17781932581237928,8,0.4284578696343403,FALSE
abiotic,2,14,TA100,yes,37.91463151069807,0.046682515668899985,0.09860283540058719,0.6526335664610075,0.036012226373151456,8,0.38473767885532595,FALSE
